id,definition
multiple lesions 2-5,
neutral position,
Brodmann area 13,
trunk of cutaneous branch of medial plantar nerve,
Brodmann area 22,
Latin,
segment of medial pectoral nerve nucleus of ventral column,
nerve to left gluteus maximus (2),
longitudinal muscle layer of segment of esophagus,
carcinoma in situ,"A lesion with cytological characteristics associated with invasive carcinoma but the tumor cells are confined to the epithelium of origin, without invasion of the basement membrane. [MeSH]"
accessory atlantoaxial ligament,
medial part of tendon of left quadriceps femoris,
infratemporal fossa of maxilla,
gray matter of left side of culmen of anterior lobe of cerebellum,
zone of flat bone,
descending branch of meningeal branch of right fifth sacral nerve,
anterior root of left fourth sacral nerve,
c5 dorsal column nucleus of right superior subscapular nerve,
gluteal lymph node group,
white matter of subdivision of sacral segment of spinal cord,
trunk of right common fibular nerve,
left side of posterior lobe of cerebellum,
multiform layer of right Brodmann area 9,
postcentral gyrus,
area postrema,
foramen lacerum,
trunk of lateral dorsal digital nerve of left little toe,
vasculature of penis,
rhabdoid meningioma,
depreotide,
meningeal branch of left fourth sacral nerve,
temporal segment of uncinate fasciculus,
thrombectomy,Surgical removal of an obstructing clot or foreign material from a blood vessel at the point of its formation. Removal of a clot arising from a distant site is called embolectomy. [MeSH]
ventral lamella of principal inferior olivary nucleus,
anterior,
other modality (DICOM),
right corticotectospinal tract,
trunk of lateral proper plantar digital nerve of fourth toe,
synovitis due to foreign material,
external granular layer of right Brodmann area 34,
carpal articular cartilage of ulnar head,
trunk of stylohyoid branch of facial nerve,
dorsal segment of superior longitudinal fasciculus,
mucosa of middle part of ileum,
ReqLabsReported,Required lab tests available in medical record
medullary vein,
left fifth common plantar digital nerve,
too little,
posterosuperior zone of left glenoid labrum,
muscle body of deltoid,
Rathke cleft cyst,
c5 root of median nerve,
ligament of knee joint,
distal tendon of right popliteus,
inferior medial heel,
medial intermuscular septum of thigh,
parieto-occipital branch of right pericallosal artery,
dura mater of posterior root of right second sacral nerve,
superior root of right ansa cervicalis,
rootlet of right twelfth thoracic nerve,
surface of tendon of long head of right triceps brachii,
left external jugular vein,
proximal epiphysis of left third metatarsal bone,
preganglionic segment of posterior root of right fifth lumbar spinal nerve,
rootlet of left eighth thoracic nerve,
myometrium of body of uterus,
l2 segment of left posterior spinocerebellar tract,
trunk of deep branch of lateral plantar nerve,
spring ligament,
aryepiglottic part of oblique arytenoid muscle,
intracortical osteosarcoma,
feeding tube placement,
trunk of left fifth sacral nerve,
dura mater of posterior root of fourth lumbar nerve,
ethmoidomaxillary suture,
posterior root of first cervical nerve,
heterotopic ossification,The development of bony substance in normally soft structures. [MeSH]
set of parietopontine fibers,
dorsal intermediate sulcus,
hypertrophy of median lobe of prostate,Increase in the volume of the median lobe of the prostate with mass-effect or protrusion into the bladder and stretching the urethra.
proximal tendon of right rectus femoris,
arcuate renal vein,
left anterior orbital gyrus,
medial head of triceps brachii muscle,
renal tubule,
communicating branch of left auriculotemporal nerve with left otic ganglion,
sulcal segment of right lateral occipital lobe,
segment of anterior root of spinal nerve,
biopsy,
infundibulum of left uterine tube,
left Brodmann area 51,
dura mater of posterior root of left fifth thoracic nerve,
iliac fossa,
neural network of right female breast,
meningeal branch of left seventh cervical nerve,
rootlet of right sixth cervical nerve,
crypt of Lieberkuhn of jejunum,
avulsion,
mucosa of pyloric canal,
internal pyramidal layer of Brodmann area 1,
lumbosacral junction,
subcentimeter,
arterial branch of dural artery to spinal dura,
endocavitary annular array transducer,
white matter of isthmus of right cingulate gyrus,
superior anterior pancreaticoduodenal lymph node group,Abdominal proper lymph node group which is located on the anterosuperior region of head of pancreas.
distal tendon of left flexor carpi ulnaris,
lateral branch of posterior ramus of second thoracic nerve,
posterior region of medial condyle of right tibia,
atypical teratoid rhabdoid tumor,"A rare but highly lethal childhood tumor found almost exclusively in infants. Histopathologically, it resembles rhabdomyosarcoma but the tumor cells are not of myogenic origin. Although it arises primarily in the kidney, it may be found in other parts of the body. The rhabdoid cytomorphology is believed to be the expression of a very primitive malignant cell. (From Holland et al., Cancer Medicine, 3d ed, p2210) [MeSH]"
RID14514,
medial branch to medial part of internal carotid plexus,
ampulla of right uterine tube,
communicating branch between right lateral pectoral nerve and right medial pectoral nerve,
meningeal branch of fourth cervical nerve,
outer sheath of optic nerve,
left second thoracic spinal ganglion,
white communicating ramus of first intercostal nerve,
humeral head of right extensor carpi ulnaris,
tendon of right scalenus anterior,
lumen of left intermediate major calyx,
diaphysis of proximal phalanx of index finger,
branch of median nerve to second lumbrical of hand,
muscle body of gastrocnemius,
radial nerve component of middle trunk segment of seventh cervical nerve,
heart,"The hollow, muscular organ that maintains the circulation of the blood. [MeSH]"
dura mater of posterior root of right ninth thoracic nerve,
atherectomy,"Endovascular procedure in which atheromatous plaque is excised by a cutting or rotating catheter. It differs from balloon and laser angioplasty procedures which enlarge vessels by dilation but frequently do not remove much plaque. If the plaque is removed by surgical excision under general anesthesia rather than by an endovascular procedure through a catheter, it is called endarterectomy. [MeSH]"
meningeal branch of first sacral nerve,
calcifications,"[BI-RADS]: Mammo:  As an associated feature, this may be used in conjunction with one or more other findings to describe calcifications within or immediately adjacent to the finding(s) (see descriptors or calcifications, section B of BI-RADS)."
anterior branch of lateral cutaneous branch of right subcostal nerve,
multiple days,
muscle layer of superior part of duodenum,
anterior root of right first sacral nerve,
tendon of right third interspinalis lumborum,
short head region of muscle body of left biceps brachii,
lateral cord segment of C5 root of left median nerve,
internal pyramidal layer of Brodmann area 33,
anus,The external outlet of the gastrointestinal tract. [MeSH]
infraauricular lymph node,
median nerve component of anterior root of right seventh cervical nerve,
distal zone of gastrocnemius,
bird's beak sign of colon,Contrast flow stops and forms sharp beak shape on barium enema; rectum is also distended. Suggests sigmoid volvulus. May form two opposing beaks if contrast passes stenosis.
right parataenial nucleus,
neural network of region of limb,
set of pedal lymphatic vessels,
belly of left subscapularis,
OrderSupplies,Order any needed supplies / medications for procedure
portal-systemic shunt surgery,
tendon of stylohyoid,
set of intercostal arteries,
frontal horn of lateral ventricle,
dorsal column-medial lemniscal pathway structure,
tendon of interspinalis thoracis,
median nerve component of trunk of anterior division of anterior ramus of fifth cervical nerve,
anatomic space of shoulder girdle,
extensor digitorum brevis muscle,
branch of right lingual nerve to right sublingual ganglion,
pontine nucleus,
external granular layer of Brodmann area 40,
proximal tendon of right rhomboid minor,
trunk of right sural nerve,
rootlet of left first thoracic nerve,
lymphangioleiomyomatosis,"A disease characterized by the progressive invasion of smooth muscle cells into the lymphatic vessels, and the blood vessels. The majority of the cases occur in the lungs of women of child-bearing age, eventually blocking the flow of air, blood, and lymph. The common symptom is shortness of breath (dyspnea). [MeSH]"
muscle body of right extensor hallucis longus,
long tube insertion,
