id,parentId
multiple lesions 2-5,multiple lesions
neutral position,patient position
Brodmann area 13,brodmann area
trunk of cutaneous branch of medial plantar nerve,trunk of branch of medial plantar nerve
Brodmann area 22,brodmann area
Latin,language of term
segment of medial pectoral nerve nucleus of ventral column,segment of medial pectoral nerve nucleus of spinal cord
nerve to left gluteus maximus (2),nerve to gluteus maximus (2)
longitudinal muscle layer of segment of esophagus,outer muscle layer of organ region
carcinoma in situ,carcinoma
accessory atlantoaxial ligament,ligament of spine
medial part of tendon of left quadriceps femoris,medial part of tendon of quadriceps femoris
infratemporal fossa of maxilla,subdivision of surface of maxilla
gray matter of left side of culmen of anterior lobe of cerebellum,gray matter of segment of cerebellum
zone of flat bone,zone of bone organ
descending branch of meningeal branch of right fifth sacral nerve,descending branch of meningeal branch of fifth sacral nerve
anterior root of left fourth sacral nerve,anterior root of fourth sacral nerve
c5 dorsal column nucleus of right superior subscapular nerve,c5 dorsal column nucleus of superior subscapular nerve
gluteal lymph node group,pelvic lymph node group
white matter of subdivision of sacral segment of spinal cord,white matter of segment of spinal cord
trunk of right common fibular nerve,trunk of common fibular nerve
left side of posterior lobe of cerebellum,segment of cerebellar lobe
multiform layer of right Brodmann area 9,multiform layer of Brodmann area 9
postcentral gyrus,gyrus of parietal lobe
area postrema,circumventricular organ of neuraxis
foramen lacerum,cranial conduit space
trunk of lateral dorsal digital nerve of left little toe,trunk of lateral dorsal digital nerve of little toe
vasculature of penis,vasculature of organ
rhabdoid meningioma,meningioma WHO grade III
depreotide,pharmaceutical
meningeal branch of left fourth sacral nerve,meningeal branch of fourth sacral nerve
temporal segment of uncinate fasciculus,long cerebral association nerve fasciculus
thrombectomy,vascular treatment procedure
ventral lamella of principal inferior olivary nucleus,subdivision of principal inferior olivary nucleus
anterior,location descriptor
other modality (DICOM),imaging modality
right corticotectospinal tract,corticotectospinal tract
trunk of lateral proper plantar digital nerve of fourth toe,trunk of proper plantar digital nerve of fourth toe
synovitis due to foreign material,synovitis
external granular layer of right Brodmann area 34,external granular layer of Brodmann area 34
carpal articular cartilage of ulnar head,articular cartilage
trunk of stylohyoid branch of facial nerve,trunk of branch of facial nerve
dorsal segment of superior longitudinal fasciculus,long cerebral association nerve fasciculus
mucosa of middle part of ileum,mucosa of region of ileum
ReqLabsReported,workflow term
medullary vein,spinal vein
left fifth common plantar digital nerve,fifth common plantar digital nerve
too little,quantity descriptor
posterosuperior zone of left glenoid labrum,posterosuperior zone of glenoid labrum
muscle body of deltoid,skeletal muscle body
Rathke cleft cyst,cyst
c5 root of median nerve,segment of root of median nerve
ligament of knee joint,ligament of lower limb
distal tendon of right popliteus,distal tendon of popliteus
inferior medial heel,segment of foot
medial intermuscular septum of thigh,zone of investing fascia of thigh
parieto-occipital branch of right pericallosal artery,parieto-occipital branch of pericallosal artery
dura mater of posterior root of right second sacral nerve,dura mater of posterior root of second sacral nerve
superior root of right ansa cervicalis,superior root of ansa cervicalis
rootlet of right twelfth thoracic nerve,rootlet of twelfth thoracic nerve
surface of tendon of long head of right triceps brachii,surface of tendon of long head of triceps brachii
left external jugular vein,external jugular vein
proximal epiphysis of left third metatarsal bone,proximal epiphysis of third metatarsal bone
preganglionic segment of posterior root of right fifth lumbar spinal nerve,preganglionic segment of posterior root of fifth lumbar spinal nerve
rootlet of left eighth thoracic nerve,rootlet of eighth thoracic nerve
myometrium of body of uterus,myometrium of zone of uterus
l2 segment of left posterior spinocerebellar tract,l2 segment of posterior spinocerebellar tract
trunk of deep branch of lateral plantar nerve,trunk of branch of lateral plantar nerve
spring ligament,ligament of talonavicular joint
aryepiglottic part of oblique arytenoid muscle,zone of muscle organ
intracortical osteosarcoma,osteosarcoma
feeding tube placement,tube insertion
trunk of left fifth sacral nerve,trunk of fifth sacral nerve
dura mater of posterior root of fourth lumbar nerve,dura mater of posterior root of lumbar nerve
ethmoidomaxillary suture,cranial suture
posterior root of first cervical nerve,posterior root of cervical nerve
heterotopic ossification,ossification
set of parietopontine fibers,set of neuraxis fibers
dorsal intermediate sulcus,subarachnoid sulcus
hypertrophy of median lobe of prostate,hypertrophy
proximal tendon of right rectus femoris,proximal tendon of rectus femoris
arcuate renal vein,tributary of renal vein
left anterior orbital gyrus,anterior orbital gyrus
medial head of triceps brachii muscle,proximal zone of muscle organ
renal tubule,region of uriniferous tubule
communicating branch of left auriculotemporal nerve with left otic ganglion,communicating branch of auriculotemporal nerve with otic ganglion
sulcal segment of right lateral occipital lobe,sulcal segment of lateral occipital lobe
segment of anterior root of spinal nerve,segment of root of nerve
biopsy,tissue sampling
infundibulum of left uterine tube,infundibulum of uterine tube
left Brodmann area 51,brodmann area 51
dura mater of posterior root of left fifth thoracic nerve,dura mater of posterior root of fifth thoracic nerve
iliac fossa,region of surface of bone organ
neural network of right female breast,neural network of female breast
meningeal branch of left seventh cervical nerve,meningeal branch of seventh cervical nerve
rootlet of right sixth cervical nerve,rootlet of sixth cervical nerve
crypt of Lieberkuhn of jejunum,crypt of Lieberkuhn of small intestine
avulsion,tear
mucosa of pyloric canal,mucosa of zone of stomach
internal pyramidal layer of Brodmann area 1,lamina of Brodmann area 1
lumbosacral junction,anatomical junction
subcentimeter,size descriptor
arterial branch of dural artery to spinal dura,branch of posterior intercostal artery
endocavitary annular array transducer,mechanical transducer
white matter of isthmus of right cingulate gyrus,white matter of isthmus of cingulate gyrus
superior anterior pancreaticoduodenal lymph node group,visceral lymph node group of abdomen proper
distal tendon of left flexor carpi ulnaris,distal tendon of flexor carpi ulnaris
lateral branch of posterior ramus of second thoracic nerve,lateral branch of posterior ramus of thoracic nerve
posterior region of medial condyle of right tibia,posterior region of medial condyle of tibia
atypical teratoid rhabdoid tumor,stromal neoplasm or complex mixed neoplasm
RID14514,Obsolete Radlex Term
medial branch to medial part of internal carotid plexus,branch of internal carotid nerve
ampulla of right uterine tube,ampulla of fallopian tube
communicating branch between right lateral pectoral nerve and right medial pectoral nerve,communicating branch between lateral pectoral nerve and medial pectoral nerve
meningeal branch of fourth cervical nerve,meningeal branch of cervical nerve
outer sheath of optic nerve,region of leptomeningeal sac
left second thoracic spinal ganglion,second thoracic spinal ganglion
white communicating ramus of first intercostal nerve,white communicating ramus of intercostal nerve
humeral head of right extensor carpi ulnaris,humeral head of extensor carpi ulnaris
tendon of right scalenus anterior,tendon of scalenus anterior
lumen of left intermediate major calyx,lumen of intermediate major calyx
diaphysis of proximal phalanx of index finger,diaphysis of phalanx of index finger
branch of median nerve to second lumbrical of hand,branch of median nerve to lumbrical of hand
muscle body of gastrocnemius,skeletal muscle body
radial nerve component of middle trunk segment of seventh cervical nerve,segment of C7 root of radial nerve
heart,organ with cavitated organ parts
dura mater of posterior root of right ninth thoracic nerve,dura mater of posterior root of ninth thoracic nerve
atherectomy,cardiovascular surgery
meningeal branch of first sacral nerve,meningeal branch of sacral nerve
calcifications,calcification disorder
anterior branch of lateral cutaneous branch of right subcostal nerve,anterior branch of lateral cutaneous branch of subcostal nerve
multiple days,temporal entity
muscle layer of superior part of duodenum,muscle layer of subdivision of duodenum
anterior root of right first sacral nerve,anterior root of first sacral nerve
tendon of right third interspinalis lumborum,tendon of third interspinalis lumborum
short head region of muscle body of left biceps brachii,short head region of muscle body of biceps brachii
lateral cord segment of C5 root of left median nerve,lateral cord segment of C5 root of median nerve
internal pyramidal layer of Brodmann area 33,lamina of Brodmann area 33
anus,anatomical orifice
infraauricular lymph node,deep parotid lymph node
median nerve component of anterior root of right seventh cervical nerve,median nerve component of anterior root of seventh cervical nerve
distal zone of gastrocnemius,zone of gastrocnemius
bird's beak sign of colon,imaging sign
right parataenial nucleus,paratenial nucleus
neural network of region of limb,neural network of cardinal body part subdivision
set of pedal lymphatic vessels,set of extremity lymphatic vessels
belly of left subscapularis,belly of subscapularis
OrderSupplies,workflow term
portal-systemic shunt surgery,esophageal varices therapy
tendon of stylohyoid,tendon
set of intercostal arteries,set of arteries
frontal horn of lateral ventricle,subdivision of lateral ventricle
dorsal column-medial lemniscal pathway structure,pathway structure of neuraxis
tendon of interspinalis thoracis,tendon
median nerve component of trunk of anterior division of anterior ramus of fifth cervical nerve,segment of C5 root of median nerve
anatomic space of shoulder girdle,anatomical space
extensor digitorum brevis muscle,skeletal muscle of dorsal foot
branch of right lingual nerve to right sublingual ganglion,branch of lingual nerve to sublingual ganglion
pontine nucleus,nucleus of brain
external granular layer of Brodmann area 40,lamina of Brodmann area 40
proximal tendon of right rhomboid minor,proximal tendon of rhomboid minor
trunk of right sural nerve,trunk of sural nerve
rootlet of left first thoracic nerve,rootlet of first thoracic nerve
lymphangioleiomyomatosis,lymphatic vessel neoplasm
muscle body of right extensor hallucis longus,muscle body of extensor hallucis longus
long tube insertion,tube insertion
RID13309,Obsolete Radlex Term
tendon of left extensor digitorum to left middle finger,tendon of extensor digitorum to middle finger
portion of serous fluid,portion of body fluid suspension
molecular layer of cerebellar cortex,gray matter layer of cerebellum
probably,certainty descriptor
paraspinal,anatomically-related descriptor
t3 segment of marginal zone of right dorsal gray column of spinal cord,t3 segment of marginal zone of dorsal gray column of spinal cord
muscular tributary of ventral tributary of left lumbar vein,muscular tributary of ventral tributary of lumbar vein
vessels in rim of tumor,tumor vascularity
suprascapular nerve component of superior trunk segment of right fifth cervical nerve,suprascapular nerve component of superior trunk segment of fifth cervical nerve
superior trunk segment of right median nerve,superior trunk segment of median nerve
aneurysm,vascular disorder
Throckmorton sign,imaging sign
pectoral branch of thoraco-acromial artery,subdivision of thoraco-acromial artery
mandibular canal,cranial conduit space
brodmann area 41 of right superior temporal gyrus,brodmann area 41 of superior temporal gyrus
left anterior transverse temporal gyrus,anterior transverse temporal gyrus
uranium,chemical element
medial dorsal digital nerve of right big toe,medial dorsal digital nerve of big toe
set of renal columns of left kidney,set of renal columns
plasmacytoma,plasma cell granuloma
spinal branch of right fourth lumbar artery,spinal branch of fourth lumbar artery
mucosa of sigmoid colon,mucosa of segment of colon
medial longitudinal fasciculus of midbrain,fasciculus of brain
posterior cutaneous branch of posterior ramus of lumbar nerve,cutaneous branch of posterior ramus of lumbar nerve
Neuhaser sign,imaging sign
articular cartilage of fibular facet of tibia,articular cartilage
trunk of lateral ampullary nerve,trunk of branch of vestibular nerve
nerve to left flexor digitorum superficialis,nerve to flexor digitorum superficialis
occipital lobe proper,segment of cerebral lobe
diaphysis of left radius,diaphysis of radius
notch region of left scapula,notch region of scapula
left limitans nucleus,limitans nucleus
OrderCreated,workflow term
connective tissue of serosa of liver,connective tissue of region of visceral peritoneum
brodmann area 40 of left postcentral gyrus,brodmann area 40 of postcentral gyrus
medial proper palmar digital branch of right median nerve to right middle finger,medial proper palmar digital branch of median nerve to middle finger
neural network of bony part of fourth metatarsal bone,neural network of bony part of metatarsal bone
branch of posterior superior alveolar artery,branch of maxillary artery
posterior temporal branch of right middle cerebral artery,posterior temporal branch of middle cerebral artery
fiducial marker,marker
moulage sign,imaging sign
rugal fold of zone of stomach,region of wall of stomach
adventitia of subdivision of minor calyx,adventitia of region of ureter
synovial fold,anatomical fold
right radial recurrent artery,radial recurrent artery
segment of medial frontal gyrus,segment of gyrus of frontal lobe
oblique muscle layer of body of stomach,middle muscle layer of zone of stomach
prostatic part of inferior vesical artery,subdivision of inferior vesical artery
basal surface proper of cerebral hemisphere,subdivision of basal surface of cerebral hemisphere
left Brodmann area 37,Brodmann area 37
trunk of interosseous branch of lateral terminal branch of left deep fibular nerve,trunk of interosseous branch of lateral terminal branch of deep fibular nerve
right medial mammillary nucleus,medial mammillary nucleus
nerve to right nasalis,nerve to nasalis
communicating branch between left medial common plantar digital nerve with left third common plantar digital nerve,communicating branch between medial common plantar digital nerve with third common plantar digital nerve
left medial longitudinal fasciculus of medulla,medial longitudinal fasciculus of medulla
gray communicating ramus to second cervical spinal nerve,lateral branch of superior cervical ganglion
tributary of superior thalamostriate vein,tributary of internal cerebral vein
muscle layer of left intermediate major calyx,muscle layer of intermediate major calyx
lateral head of left flexor hallucis brevis,lateral head of flexor hallucis brevis
dura mater of anterior rootlet of right fifth lumbar nerve,dura mater of anterior rootlet of fifth lumbar nerve
transplantation,surgical procedure
superior laryngeal vein,subdivision of internal jugular vein
t8 segment of right dorsal funiculus of spinal cord,t8 segment of dorsal funiculus of spinal cord
set of vaginal nerves,set of nerves
