,id,parentId
0,multiple lesions 2-5,multiple lesions
1,neutral position,patient position
2,Brodmann area 13,brodmann area
3,trunk of cutaneous branch of medial plantar nerve,trunk of branch of medial plantar nerve
4,Brodmann area 22,brodmann area
5,Latin,language of term
6,segment of medial pectoral nerve nucleus of ventral column,segment of medial pectoral nerve nucleus of spinal cord
7,nerve to left gluteus maximus (2),nerve to gluteus maximus (2)
8,longitudinal muscle layer of segment of esophagus,outer muscle layer of organ region
9,carcinoma in situ,carcinoma
10,accessory atlantoaxial ligament,ligament of spine
11,medial part of tendon of left quadriceps femoris,medial part of tendon of quadriceps femoris
12,infratemporal fossa of maxilla,subdivision of surface of maxilla
13,gray matter of left side of culmen of anterior lobe of cerebellum,gray matter of segment of cerebellum
14,zone of flat bone,zone of bone organ
15,descending branch of meningeal branch of right fifth sacral nerve,descending branch of meningeal branch of fifth sacral nerve
16,anterior root of left fourth sacral nerve,anterior root of fourth sacral nerve
17,c5 dorsal column nucleus of right superior subscapular nerve,c5 dorsal column nucleus of superior subscapular nerve
18,gluteal lymph node group,pelvic lymph node group
19,white matter of subdivision of sacral segment of spinal cord,white matter of segment of spinal cord
20,trunk of right common fibular nerve,trunk of common fibular nerve
21,left side of posterior lobe of cerebellum,segment of cerebellar lobe
22,multiform layer of right Brodmann area 9,multiform layer of Brodmann area 9
23,postcentral gyrus,gyrus of parietal lobe
24,area postrema,circumventricular organ of neuraxis
25,foramen lacerum,cranial conduit space
26,trunk of lateral dorsal digital nerve of left little toe,trunk of lateral dorsal digital nerve of little toe
27,vasculature of penis,vasculature of organ
28,rhabdoid meningioma,meningioma WHO grade III
29,depreotide,pharmaceutical
30,meningeal branch of left fourth sacral nerve,meningeal branch of fourth sacral nerve
31,temporal segment of uncinate fasciculus,long cerebral association nerve fasciculus
32,thrombectomy,vascular treatment procedure
33,ventral lamella of principal inferior olivary nucleus,subdivision of principal inferior olivary nucleus
34,anterior,location descriptor
35,other modality (DICOM),imaging modality
36,right corticotectospinal tract,corticotectospinal tract
37,trunk of lateral proper plantar digital nerve of fourth toe,trunk of proper plantar digital nerve of fourth toe
38,synovitis due to foreign material,synovitis
39,external granular layer of right Brodmann area 34,external granular layer of Brodmann area 34
40,carpal articular cartilage of ulnar head,articular cartilage
41,trunk of stylohyoid branch of facial nerve,trunk of branch of facial nerve
42,dorsal segment of superior longitudinal fasciculus,long cerebral association nerve fasciculus
43,mucosa of middle part of ileum,mucosa of region of ileum
44,ReqLabsReported,workflow term
45,medullary vein,spinal vein
46,left fifth common plantar digital nerve,fifth common plantar digital nerve
47,too little,quantity descriptor
48,posterosuperior zone of left glenoid labrum,posterosuperior zone of glenoid labrum
